2022-01-02 19:48:44
Radius	Barionic density	Energy	Pressure	Energy density	Rest mass	Radius metric	Time metric
7.60000000E-03	4.19874742E-01	1.09639314E-06	1.76294799E-01	5.96169540E-01	7.72215563E-07	3.99691865E-01	1.00014429E+00
7.80000000E-03	4.19868063E-01	1.18523365E-06	1.76289190E-01	5.96157254E-01	8.34794236E-07	3.99694767E-01	1.00015199E+00
8.00000000E-03	4.19861211E-01	1.27874697E-06	1.76283437E-01	5.96144648E-01	9.00665234E-07	3.99697744E-01	1.00015988E+00
8.20000000E-03	4.19854186E-01	1.37705271E-06	1.76277538E-01	5.96131724E-01	9.69912919E-07	3.99700797E-01	1.00016798E+00
8.40000000E-03	4.19846988E-01	1.48027047E-06	1.76271493E-01	5.96118481E-01	1.04262165E-06	3.99703925E-01	1.00017627E+00
8.60000000E-03	4.19839616E-01	1.58851984E-06	1.76265303E-01	5.96104919E-01	1.11887578E-06	3.99707128E-01	1.00018476E+00
8.80000000E-03	4.19832071E-01	1.70192038E-06	1.76258968E-01	5.96091039E-01	1.19875965E-06	3.99710407E-01	1.00019346E+00
9.00000000E-03	4.19824353E-01	1.82059164E-06	1.76252487E-01	5.96076840E-01	1.28235762E-06	3.99713761E-01	1.00020235E+00
9.20000000E-03	4.19816461E-01	1.94465315E-06	1.76245861E-01	5.96062321E-01	1.36975401E-06	3.99717190E-01	1.00021144E+00
9.40000000E-03	4.19808396E-01	2.07422443E-06	1.76239089E-01	5.96047485E-01	1.46103316E-06	3.99720695E-01	1.00022074E+00
9.60000000E-03	4.19800157E-01	2.20942497E-06	1.76232172E-01	5.96032329E-01	1.55627941E-06	3.99724275E-01	1.00023023E+00
9.80000000E-03	4.19791745E-01	2.35037425E-06	1.76225110E-01	5.96016855E-01	1.65557708E-06	3.99727931E-01	1.00023992E+00
1.00000000E-02	4.19783160E-01	2.49719174E-06	1.76217902E-01	5.96001062E-01	1.75901047E-06	3.99731662E-01	1.00024981E+00
1.02000000E-02	4.19774402E-01	2.64999687E-06	1.76210549E-01	5.95984951E-01	1.86666392E-06	3.99735468E-01	1.00025990E+00
1.04000000E-02	4.19765471E-01	2.80890907E-06	1.76203050E-01	5.95968521E-01	1.97862173E-06	3.99739350E-01	1.00027020E+00
1.06000000E-02	4.19756366E-01	2.97404774E-06	1.76195407E-01	5.95951772E-01	2.09496819E-06	3.99743307E-01	1.00028069E+00
1.08000000E-02	4.19747088E-01	3.14553227E-06	1.76187618E-01	5.95934705E-01	2.21578761E-06	3.99747339E-01	1.00029138E+00
1.10000000E-02	4.19737636E-01	3.32348201E-06	1.76179683E-01	5.95917320E-01	2.34116428E-06	3.99751447E-01	1.00030227E+00
1.12000000E-02	4.19728012E-01	3.50801631E-06	1.76171604E-01	5.95899616E-01	2.47118248E-06	3.99755630E-01	1.00031336E+00
1.14000000E-02	4.19718214E-01	3.69925449E-06	1.76163379E-01	5.95881593E-01	2.60592650E-06	3.99759889E-01	1.00032465E+00
1.16000000E-02	4.19708243E-01	3.89731585E-06	1.76155009E-01	5.95863252E-01	2.74548060E-06	3.99764223E-01	1.00033614E+00
1.18000000E-02	4.19698099E-01	4.10231967E-06	1.76146494E-01	5.95844593E-01	2.88992905E-06	3.99768632E-01	1.00034784E+00
1.20000000E-02	4.19687781E-01	4.31438519E-06	1.76137834E-01	5.95825615E-01	3.03935612E-06	3.99773117E-01	1.00035973E+00
1.22000000E-02	4.19677291E-01	4.53363166E-06	1.76129028E-01	5.95806319E-01	3.19384606E-06	3.99777677E-01	1.00037182E+00
1.24000000E-02	4.19666627E-01	4.76017828E-06	1.76120078E-01	5.95786705E-01	3.35348312E-06	3.99782313E-01	1.00038411E+00
1.26000000E-02	4.19655790E-01	4.99414424E-06	1.76110982E-01	5.95766772E-01	3.51835153E-06	3.99787024E-01	1.00039660E+00
1.28000000E-02	4.19644780E-01	5.23564870E-06	1.76101741E-01	5.95746522E-01	3.68853554E-06	3.99791810E-01	1.00040929E+00
1.30000000E-02	4.19633597E-01	5.48481080E-06	1.76092356E-01	5.95725953E-01	3.86411937E-06	3.99796672E-01	1.00042218E+00
1.32000000E-02	4.19622241E-01	5.74174964E-06	1.76082825E-01	5.95705065E-01	4.04518725E-06	3.99801609E-01	1.00043527E+00
1.34000000E-02	4.19610711E-01	6.00658433E-06	1.76073149E-01	5.95683860E-01	4.23182338E-06	3.99806621E-01	1.00044855E+00
1.36000000E-02	4.19599009E-01	6.27943392E-06	1.76063328E-01	5.95662337E-01	4.42411198E-06	3.99811709E-01	1.00046204E+00
1.38000000E-02	4.19587133E-01	6.56041746E-06	1.76053362E-01	5.95640495E-01	4.62213724E-06	3.99816872E-01	1.00047573E+00
1.40000000E-02	4.19575084E-01	6.84965394E-06	1.76043251E-01	5.95618336E-01	4.82598336E-06	3.99822111E-01	1.00048962E+00
1.42000000E-02	4.19562862E-01	7.14726235E-06	1.76032996E-01	5.95595858E-01	5.03573451E-06	3.99827425E-01	1.00050371E+00
1.44000000E-02	4.19550468E-01	7.45336167E-06	1.76022595E-01	5.95573062E-01	5.25147489E-06	3.99832814E-01	1.00051800E+00
1.46000000E-02	4.19537900E-01	7.76807080E-06	1.76012049E-01	5.95549949E-01	5.47328866E-06	3.99838279E-01	1.00053248E+00
1.48000000E-02	4.19525159E-01	8.09150866E-06	1.76001359E-01	5.95526518E-01	5.70125997E-06	3.99843819E-01	1.00054717E+00
1.50000000E-02	4.19512245E-01	8.42379413E-06	1.75990524E-01	5.95502769E-01	5.93547299E-06	3.99849435E-01	1.00056206E+00
1.52000000E-02	4.19499158E-01	8.76504604E-06	1.75979544E-01	5.95478702E-01	6.17601187E-06	3.99855126E-01	1.00057715E+00
1.54000000E-02	4.19485898E-01	9.11538322E-06	1.75968419E-01	5.95454317E-01	6.42296073E-06	3.99860892E-01	1.00059243E+00
1.56000000E-02	4.19472465E-01	9.47492445E-06	1.75957149E-01	5.95429614E-01	6.67640370E-06	3.99866734E-01	1.00060792E+00
1.58000000E-02	4.19458859E-01	9.84378849E-06	1.75945735E-01	5.95404594E-01	6.93642492E-06	3.99872651E-01	1.00062361E+00
1.60000000E-02	4.19445081E-01	1.02220941E-05	1.75934176E-01	5.95379256E-01	7.20310849E-06	3.99878643E-01	1.00063949E+00
1.62000000E-02	4.19431129E-01	1.06099599E-05	1.75922472E-01	5.95353601E-01	7.47653851E-06	3.99884711E-01	1.00065558E+00
1.64000000E-02	4.19417004E-01	1.10075046E-05	1.75910623E-01	5.95327628E-01	7.75679909E-06	3.99890854E-01	1.00067187E+00
1.66000000E-02	4.19402707E-01	1.14148469E-05	1.75898630E-01	5.95301337E-01	8.04397430E-06	3.99897073E-01	1.00068835E+00
1.68000000E-02	4.19388236E-01	1.18321054E-05	1.75886493E-01	5.95274729E-01	8.33814824E-06	3.99903367E-01	1.00070504E+00
1.70000000E-02	4.19373593E-01	1.22593985E-05	1.75874211E-01	5.95247804E-01	8.63940496E-06	3.99909736E-01	1.00072192E+00
1.72000000E-02	4.19358777E-01	1.26968450E-05	1.75861784E-01	5.95220561E-01	8.94782852E-06	3.99916181E-01	1.00073901E+00
1.74000000E-02	4.19343788E-01	1.31445632E-05	1.75849213E-01	5.95193000E-01	9.26350298E-06	3.99922701E-01	1.00075629E+00
1.76000000E-02	4.19328626E-01	1.36026716E-05	1.75836497E-01	5.95165123E-01	9.58651238E-06	3.99929297E-01	1.00077378E+00
1.78000000E-02	4.19313292E-01	1.40712888E-05	1.75823636E-01	5.95136928E-01	9.91694076E-06	3.99935968E-01	1.00079146E+00
1.80000000E-02	4.19297784E-01	1.45505330E-05	1.75810632E-01	5.95108416E-01	1.02548721E-05	3.99942715E-01	1.00080934E+00
1.82000000E-02	4.19282104E-01	1.50405228E-05	1.75797483E-01	5.95079587E-01	1.06003905E-05	3.99949536E-01	1.00082743E+00
1.84000000E-02	4.19266251E-01	1.55413763E-05	1.75784189E-01	5.95050440E-01	1.09535799E-05	3.99956434E-01	1.00084571E+00
1.86000000E-02	4.19250225E-01	1.60532120E-05	1.75770751E-01	5.95020977E-01	1.13145243E-05	3.99963406E-01	1.00086419E+00
1.88000000E-02	4.19234027E-01	1.65761481E-05	1.75757169E-01	5.94991196E-01	1.16833076E-05	3.99970454E-01	1.00088288E+00
1.90000000E-02	4.19217656E-01	1.71103028E-05	1.75743443E-01	5.94961099E-01	1.20600139E-05	3.99977578E-01	1.00090176E+00
1.92000000E-02	4.19201112E-01	1.76557943E-05	1.75729572E-01	5.94930684E-01	1.24447272E-05	3.99984776E-01	1.00092084E+00
1.94000000E-02	4.19184396E-01	1.82127408E-05	1.75715557E-01	5.94899953E-01	1.28375313E-05	3.99992051E-01	1.00094013E+00
1.96000000E-02	4.19167506E-01	1.87812605E-05	1.75701398E-01	5.94868905E-01	1.32385103E-05	3.99999400E-01	1.00095961E+00
1.98000000E-02	4.19150445E-01	1.93614713E-05	1.75687095E-01	5.94837540E-01	1.36477480E-05	4.00006825E-01	1.00097929E+00
2.00000000E-02	4.19133210E-01	1.99534914E-05	1.75672648E-01	5.94805858E-01	1.40653283E-05	4.00014326E-01	1.00099917E+00
2.02000000E-02	4.19115803E-01	2.05574388E-05	1.75658056E-01	5.94773860E-01	1.44913353E-05	4.00021901E-01	1.00101925E+00
2.04000000E-02	4.19098224E-01	2.11734314E-05	1.75643321E-01	5.94741545E-01	1.49258527E-05	4.00029553E-01	1.00103953E+00
2.06000000E-02	4.19080471E-01	2.18015872E-05	1.75628442E-01	5.94708913E-01	1.53689645E-05	4.00037279E-01	1.00106001E+00
2.08000000E-02	4.19062547E-01	2.24420240E-05	1.75613418E-01	5.94675965E-01	1.58207545E-05	4.00045081E-01	1.00108069E+00
2.10000000E-02	4.19044449E-01	2.30948599E-05	1.75598251E-01	5.94642700E-01	1.62813067E-05	4.00052959E-01	1.00110157E+00
2.12000000E-02	4.19026180E-01	2.37602124E-05	1.75582939E-01	5.94609119E-01	1.67507048E-05	4.00060912E-01	1.00112265E+00
2.14000000E-02	4.19007737E-01	2.44381995E-05	1.75567484E-01	5.94575221E-01	1.72290328E-05	4.00068940E-01	1.00114393E+00
2.16000000E-02	4.18989123E-01	2.51289389E-05	1.75551885E-01	5.94541008E-01	1.77163744E-05	4.00077044E-01	1.00116541E+00
2.18000000E-02	4.18970336E-01	2.58325482E-05	1.75536142E-01	5.94506478E-01	1.82128134E-05	4.00085223E-01	1.00118709E+00
2.20000000E-02	4.18951376E-01	2.65491451E-05	1.75520255E-01	5.94471631E-01	1.87184338E-05	4.00093477E-01	1.00120897E+00
2.22000000E-02	4.18932244E-01	2.72788473E-05	1.75504225E-01	5.94436469E-01	1.92333192E-05	4.00101807E-01	1.00123105E+00
2.24000000E-02	4.18912939E-01	2.80217723E-05	1.75488051E-01	5.94400990E-01	1.97575534E-05	4.00110212E-01	1.00125332E+00
2.26000000E-02	4.18893463E-01	2.87780376E-05	1.75471733E-01	5.94365196E-01	2.02912203E-05	4.00118693E-01	1.00127580E+00
2.28000000E-02	4.18873813E-01	2.95477607E-05	1.75455272E-01	5.94329085E-01	2.08344036E-05	4.00127249E-01	1.00129848E+00
2.30000000E-02	4.18853992E-01	3.03310591E-05	1.75438667E-01	5.94292659E-01	2.13871871E-05	4.00135881E-01	1.00132136E+00
2.32000000E-02	4.18833998E-01	3.11280502E-05	1.75421918E-01	5.94255916E-01	2.19496544E-05	4.00144588E-01	1.00134443E+00
2.34000000E-02	4.18813832E-01	3.19388513E-05	1.75405026E-01	5.94218858E-01	2.25218894E-05	4.00153370E-01	1.00136771E+00
2.36000000E-02	4.18793494E-01	3.27635797E-05	1.75387990E-01	5.94181484E-01	2.31039756E-05	4.00162228E-01	1.00139118E+00
2.38000000E-02	4.18772983E-01	3.36023527E-05	1.75370811E-01	5.94143794E-01	2.36959969E-05	4.00171161E-01	1.00141486E+00
2.40000000E-02	4.18752300E-01	3.44552876E-05	1.75353489E-01	5.94105789E-01	2.42980368E-05	4.00180170E-01	1.00143874E+00
2.42000000E-02	4.18731445E-01	3.53225014E-05	1.75336023E-01	5.94067468E-01	2.49101792E-05	4.00189254E-01	1.00146281E+00
2.44000000E-02	4.18710418E-01	3.62041113E-05	1.75318414E-01	5.94028832E-01	2.55325076E-05	4.00198413E-01	1.00148709E+00
2.46000000E-02	4.18689218E-01	3.71002345E-05	1.75300662E-01	5.93989880E-01	2.61651057E-05	4.00207648E-01	1.00151156E+00
2.48000000E-02	4.18667847E-01	3.80109879E-05	1.75282766E-01	5.93950613E-01	2.68080571E-05	4.00216958E-01	1.00153623E+00
2.50000000E-02	4.18646303E-01	3.89364886E-05	1.75264727E-01	5.93911030E-01	2.74614454E-05	4.00226344E-01	1.00156111E+00
2.52000000E-02	4.18624587E-01	3.98768534E-05	1.75246545E-01	5.93871133E-01	2.81253543E-05	4.00235805E-01	1.00158618E+00
2.54000000E-02	4.18602700E-01	4.08321994E-05	1.75228220E-01	5.93830920E-01	2.87998673E-05	4.00245342E-01	1.00161145E+00
2.56000000E-02	4.18580640E-01	4.18026432E-05	1.75209752E-01	5.93790392E-01	2.94850680E-05	4.00254954E-01	1.00163693E+00
2.58000000E-02	4.18558408E-01	4.27883018E-05	1.75191141E-01	5.93749548E-01	3.01810401E-05	4.00264641E-01	1.00166260E+00
2.60000000E-02	4.18536004E-01	4.37892919E-05	1.75172386E-01	5.93708390E-01	3.08878669E-05	4.00274404E-01	1.00168847E+00
2.62000000E-02	4.18513428E-01	4.48057301E-05	1.75153489E-01	5.93666917E-01	3.16056322E-05	4.00284242E-01	1.00171454E+00
2.64000000E-02	4.18490680E-01	4.58377332E-05	1.75134449E-01	5.93625129E-01	3.23344193E-05	4.00294156E-01	1.00174081E+00
2.66000000E-02	4.18467760E-01	4.68854177E-05	1.75115266E-01	5.93583026E-01	3.30743119E-05	4.00304145E-01	1.00176728E+00
2.68000000E-02	4.18444668E-01	4.79489002E-05	1.75095941E-01	5.93540609E-01	3.38253934E-05	4.00314209E-01	1.00179395E+00
2.70000000E-02	4.18421405E-01	4.90282972E-05	1.75076472E-01	5.93497877E-01	3.45877472E-05	4.00324349E-01	1.00182082E+00
2.72000000E-02	4.18397969E-01	5.01237251E-05	1.75056861E-01	5.93454830E-01	3.53614570E-05	4.00334565E-01	1.00184789E+00
2.74000000E-02	4.18374362E-01	5.12353004E-05	1.75037107E-01	5.93411469E-01	3.61466060E-05	4.00344855E-01	1.00187516E+00
2.76000000E-02	4.18350583E-01	5.23631394E-05	1.75017210E-01	5.93367793E-01	3.69432778E-05	4.00355222E-01	1.00190263E+00
2.78000000E-02	4.18326632E-01	5.35073583E-05	1.74997171E-01	5.93323803E-01	3.77515558E-05	4.00365663E-01	1.00193030E+00
2.80000000E-02	4.18302509E-01	5.46680735E-05	1.74976989E-01	5.93279498E-01	3.85715233E-05	4.00376181E-01	1.00195817E+00
2.82000000E-02	4.18278215E-01	5.58454011E-05	1.74956665E-01	5.93234880E-01	3.94032638E-05	4.00386773E-01	1.00198624E+00
2.84000000E-02	4.18253749E-01	5.70394572E-05	1.74936198E-01	5.93189947E-01	4.02468607E-05	4.00397441E-01	1.00201450E+00
2.86000000E-02	4.18229111E-01	5.82503580E-05	1.74915589E-01	5.93144700E-01	4.11023973E-05	4.00408185E-01	1.00204297E+00
2.88000000E-02	4.18204301E-01	5.94782195E-05	1.74894838E-01	5.93099139E-01	4.19699569E-05	4.00419003E-01	1.00207164E+00
2.90000000E-02	4.18179320E-01	6.07231576E-05	1.74873944E-01	5.93053264E-01	4.28496229E-05	4.00429898E-01	1.00210050E+00
2.92000000E-02	4.18154167E-01	6.19852882E-05	1.74852908E-01	5.93007075E-01	4.37414786E-05	4.00440867E-01	1.00212957E+00
2.94000000E-02	4.18128843E-01	6.32647273E-05	1.74831729E-01	5.92960572E-01	4.46456074E-05	4.00451913E-01	1.00215883E+00
2.96000000E-02	4.18103347E-01	6.45615906E-05	1.74810409E-01	5.92913756E-01	4.55620924E-05	4.00463033E-01	1.00218830E+00
2.98000000E-02	4.18077680E-01	6.58759939E-05	1.74788946E-01	5.92866626E-01	4.64910170E-05	4.00474229E-01	1.00221796E+00
3.00000000E-02	4.18051841E-01	6.72080530E-05	1.74767342E-01	5.92819182E-01	4.74324644E-05	4.00485501E-01	1.00224782E+00
3.02000000E-02	4.18025830E-01	6.85578833E-05	1.74745595E-01	5.92771425E-01	4.83865179E-05	4.00496848E-01	1.00227789E+00
3.04000000E-02	4.17999649E-01	6.99256005E-05	1.74723706E-01	5.92723355E-01	4.93532606E-05	4.00508270E-01	1.00230815E+00
3.06000000E-02	4.17973295E-01	7.13113202E-05	1.74701676E-01	5.92674971E-01	5.03327758E-05	4.00519768E-01	1.00233861E+00
3.08000000E-02	4.17946771E-01	7.27151578E-05	1.74679503E-01	5.92626274E-01	5.13251466E-05	4.00531341E-01	1.00236928E+00
3.10000000E-02	4.17920075E-01	7.41372288E-05	1.74657189E-01	5.92577263E-01	5.23304563E-05	4.00542990E-01	1.00240014E+00
3.12000000E-02	4.17893207E-01	7.55776484E-05	1.74634733E-01	5.92527940E-01	5.33487879E-05	4.00554714E-01	1.00243120E+00
3.14000000E-02	4.17866168E-01	7.70365319E-05	1.74612135E-01	5.92478303E-01	5.43802247E-05	4.00566514E-01	1.00246246E+00
3.16000000E-02	4.17838958E-01	7.85139947E-05	1.74589395E-01	5.92428354E-01	5.54248497E-05	4.00578389E-01	1.00249392E+00
3.18000000E-02	4.17811577E-01	8.00101519E-05	1.74566514E-01	5.92378091E-01	5.64827461E-05	4.00590339E-01	1.00252558E+00
3.20000000E-02	4.17784025E-01	8.15251186E-05	1.74543491E-01	5.92327516E-01	5.75539969E-05	4.00602365E-01	1.00255744E+00
