2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
8.80091200E+00	5.43273145E-01	1.03364226E-01	9.61432239E-02
8.90091100E+00	5.43752246E-01	1.03466666E-01	9.62733813E-02
9.00091000E+00	5.44209424E-01	1.03568299E-01	9.64025169E-02
9.10090900E+00	5.44654687E-01	1.03669078E-01	9.65305737E-02
9.20090800E+00	5.45092725E-01	1.03768963E-01	9.66575002E-02
9.30090700E+00	5.45505664E-01	1.03867916E-01	9.67832500E-02
9.40090600E+00	5.45909814E-01	1.03965905E-01	9.69077814E-02
9.50090500E+00	5.46301270E-01	1.04062899E-01	9.70310572E-02
9.60090400E+00	5.46684521E-01	1.04158873E-01	9.71530443E-02
9.70090300E+00	5.47046094E-01	1.04253803E-01	9.72737135E-02
9.80090200E+00	5.47399414E-01	1.04347669E-01	9.73930392E-02
9.90090100E+00	5.47746680E-01	1.04440453E-01	9.75109990E-02
1.00009000E+01	5.48071582E-01	1.04532140E-01	9.76275739E-02
1.01008990E+01	5.48388477E-01	1.04622717E-01	9.77427476E-02
1.02008980E+01	5.48692822E-01	1.04712173E-01	9.78565063E-02
1.03008970E+01	5.48992187E-01	1.04800500E-01	9.79688389E-02
1.04008960E+01	5.49274219E-01	1.04887690E-01	9.80797367E-02
1.05008950E+01	5.49552148E-01	1.04973738E-01	9.81891930E-02
1.06008940E+01	5.49811963E-01	1.05058641E-01	9.82972029E-02
1.07008930E+01	5.50071680E-01	1.05142396E-01	9.84037637E-02
1.08008920E+01	5.50312061E-01	1.05225003E-01	9.85088741E-02
1.09008910E+01	5.50555322E-01	1.05306461E-01	9.86125346E-02
1.10008900E+01	5.50785645E-01	1.05386773E-01	9.87147469E-02
1.11008890E+01	5.51000439E-01	1.05465941E-01	9.88155142E-02
1.12008880E+01	5.51210937E-01	1.05543969E-01	9.89148410E-02
1.13008870E+01	5.51413867E-01	1.05620860E-01	9.90127326E-02
1.14008860E+01	5.51610596E-01	1.05696621E-01	9.91091957E-02
1.15008850E+01	5.51799707E-01	1.05771258E-01	9.92042378E-02
