2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
1.18520451E+17	5.43273145E+00	1.25105752E+54	6.51149246E-01
1.19867121E+17	5.43752246E+00	1.25229740E+54	6.52030762E-01
1.21213791E+17	5.44209424E+00	1.25352750E+54	6.52905359E-01
1.22560461E+17	5.44654687E+00	1.25474727E+54	6.53772650E-01
1.23907132E+17	5.45092725E+00	1.25595621E+54	6.54632285E-01
1.25253802E+17	5.45505664E+00	1.25715388E+54	6.55483951E-01
1.26600472E+17	5.45909814E+00	1.25833987E+54	6.56327364E-01
1.27947142E+17	5.46301270E+00	1.25951383E+54	6.57162274E-01
1.29293813E+17	5.46684521E+00	1.26067544E+54	6.57988456E-01
1.30640483E+17	5.47046094E+00	1.26182442E+54	6.58805713E-01
1.31987153E+17	5.47399414E+00	1.26296051E+54	6.59613870E-01
1.33333824E+17	5.47746680E+00	1.26408352E+54	6.60412777E-01
1.34680494E+17	5.48071582E+00	1.26519324E+54	6.61202304E-01
1.36027164E+17	5.48388477E+00	1.26628953E+54	6.61982340E-01
1.37373834E+17	5.48692822E+00	1.26737225E+54	6.62752794E-01
1.38720505E+17	5.48992187E+00	1.26844130E+54	6.63513589E-01
1.40067175E+17	5.49274219E+00	1.26949660E+54	6.64264667E-01
1.41413845E+17	5.49552148E+00	1.27053807E+54	6.65005981E-01
1.42760515E+17	5.49811963E+00	1.27156568E+54	6.65737500E-01
1.44107186E+17	5.50071680E+00	1.27257940E+54	6.66459204E-01
1.45453856E+17	5.50312061E+00	1.27357923E+54	6.67171086E-01
1.46800526E+17	5.50555322E+00	1.27456515E+54	6.67873147E-01
1.48147196E+17	5.50785645E+00	1.27553720E+54	6.68565400E-01
1.49493867E+17	5.51000439E+00	1.27649540E+54	6.69247867E-01
1.50840537E+17	5.51210937E+00	1.27743980E+54	6.69920578E-01
1.52187207E+17	5.51413867E+00	1.27837045E+54	6.70583568E-01
1.53533878E+17	5.51610596E+00	1.27928741E+54	6.71236884E-01
1.54880548E+17	5.51799707E+00	1.28019077E+54	6.71880575E-01
1.56227218E+17	5.51985645E+00	1.28108060E+54	6.72514699E-01
1.57573888E+17	5.52156445E+00	1.28195699E+54	6.73139317E-01
1.58920559E+17	5.52338477E+00	1.28282003E+54	6.73754497E-01
1.60267229E+17	5.52484473E+00	1.28366984E+54	6.74360309E-01
1.61613899E+17	5.52635498E+00	1.28450651E+54	6.74956830E-01
1.62960569E+17	5.52785840E+00	1.28533017E+54	6.75544137E-01
1.64307240E+17	5.52938135E+00	1.28614093E+54	6.76122315E-01
1.65653910E+17	5.53054492E+00	1.28693891E+54	6.76691448E-01
1.67000580E+17	5.53188770E+00	1.28772424E+54	6.77251623E-01
1.68347251E+17	5.53306982E+00	1.28849705E+54	6.77802933E-01
1.69693921E+17	5.53425732E+00	1.28925747E+54	6.78345468E-01
1.71040591E+17	5.53547217E+00	1.29000564E+54	6.78879323E-01
1.72387261E+17	5.53646875E+00	1.29074169E+54	6.79404595E-01
1.73733932E+17	5.53754492E+00	1.29146576E+54	6.79921380E-01
1.75080602E+17	5.53847266E+00	1.29217799E+54	6.80429776E-01
1.76427272E+17	5.53948242E+00	1.29287853E+54	6.80929883E-01
1.77773942E+17	5.54028223E+00	1.29356752E+54	6.81421802E-01
1.79120613E+17	5.54112012E+00	1.29424511E+54	6.81905633E-01
1.80467283E+17	5.54196533E+00	1.29491142E+54	6.82381477E-01
1.81813953E+17	5.54272998E+00	1.29556663E+54	6.82849436E-01
1.83160623E+17	5.54348340E+00	1.29621086E+54	6.83309612E-01
1.84507294E+17	5.54409229E+00	1.29684426E+54	6.83762107E-01
1.85853964E+17	5.54474854E+00	1.29746698E+54	6.84207022E-01
1.87200634E+17	5.54543555E+00	1.29807917E+54	6.84644460E-01
1.88547305E+17	5.54593457E+00	1.29868096E+54	6.85074522E-01
1.89893975E+17	5.54643506E+00	1.29927251E+54	6.85497309E-01
1.91240645E+17	5.54693848E+00	1.29985395E+54	6.85912923E-01
1.92587315E+17	5.54747998E+00	1.30042544E+54	6.86321463E-01
1.93933986E+17	5.54787500E+00	1.30098711E+54	6.86723029E-01
1.95280656E+17	5.54823340E+00	1.30153910E+54	6.87117722E-01
1.96627326E+17	5.54868994E+00	1.30208155E+54	6.87505639E-01
1.97973996E+17	5.54896436E+00	1.30261461E+54	6.87886879E-01
1.99320667E+17	5.54942187E+00	1.30313841E+54	6.88261538E-01
2.00667337E+17	5.54968994E+00	1.30365309E+54	6.88629714E-01
2.02014007E+17	5.54987402E+00	1.30415879E+54	6.88991501E-01
2.03360678E+17	5.55006982E+00	1.30465563E+54	6.89346995E-01
2.04707348E+17	5.55027246E+00	1.30514376E+54	6.89696289E-01
2.06054018E+17	5.55046973E+00	1.30562330E+54	6.90039476E-01
2.07400688E+17	5.55069531E+00	1.30609439E+54	6.90376648E-01
2.08747359E+17	5.55084619E+00	1.30655715E+54	6.90707897E-01
2.10094029E+17	5.55092773E+00	1.30701171E+54	6.91033312E-01
2.11440699E+17	5.55100195E+00	1.30745821E+54	6.91352982E-01
2.12787369E+17	5.55108545E+00	1.30789676E+54	6.91666995E-01
2.14134040E+17	5.55113232E+00	1.30832748E+54	6.91975439E-01
2.15480710E+17	5.55138477E+00	1.30875051E+54	6.92278399E-01
2.16827380E+17	5.55138184E+00	1.30916595E+54	6.92575959E-01
2.18174051E+17	5.55138184E+00	1.30957394E+54	6.92868204E-01
2.19520721E+17	5.55138135E+00	1.30997458E+54	6.93155217E-01
2.20867391E+17	5.55139160E+00	1.31036799E+54	6.93437079E-01
2.22214061E+17	5.55111963E+00	1.31075428E+54	6.93713870E-01
2.23560732E+17	5.55106006E+00	1.31113357E+54	6.93985671E-01
2.24907402E+17	5.55099414E+00	1.31150598E+54	6.94252559E-01
2.26254072E+17	5.55092725E+00	1.31187160E+54	6.94514613E-01
2.27600742E+17	5.55084521E+00	1.31223055E+54	6.94771908E-01
2.28947413E+17	5.55071826E+00	1.31258293E+54	6.95024519E-01
2.30294083E+17	5.55052979E+00	1.31292885E+54	6.95272522E-01
2.31640753E+17	5.55042236E+00	1.31326841E+54	6.95515988E-01
2.32987423E+17	5.55023486E+00	1.31360172E+54	6.95754991E-01
2.34334094E+17	5.55006836E+00	1.31392887E+54	6.95989600E-01
2.35680764E+17	5.54992773E+00	1.31424996E+54	6.96219887E-01
2.37027434E+17	5.54974707E+00	1.31456510E+54	6.96445920E-01
2.38374105E+17	5.54952979E+00	1.31487437E+54	6.96667767E-01
2.39720775E+17	5.54939600E+00	1.31517787E+54	6.96885495E-01
2.41067445E+17	5.54902637E+00	1.31547570E+54	6.97099169E-01
2.42414115E+17	5.54884570E+00	1.31576794E+54	6.97308856E-01
2.43760786E+17	5.54854248E+00	1.31605469E+54	6.97514619E-01
2.45107456E+17	5.54828369E+00	1.31633604E+54	6.97716521E-01
2.46454126E+17	5.54804248E+00	1.31661207E+54	6.97914623E-01
2.47800796E+17	5.54784473E+00	1.31688286E+54	6.98108988E-01
2.49147467E+17	5.54752539E+00	1.31714852E+54	6.98299674E-01
2.50494137E+17	5.54739014E+00	1.31740910E+54	6.98486742E-01
2.51840807E+17	5.54689160E+00	1.31766471E+54	6.98670250E-01
2.53187478E+17	5.54656055E+00	1.31791542E+54	6.98850255E-01
2.54534148E+17	5.54625488E+00	1.31816131E+54	6.99026813E-01
2.55880818E+17	5.54596826E+00	1.31840246E+54	6.99199980E-01
2.57227488E+17	5.54571289E+00	1.31863895E+54	6.99369811E-01
2.58574159E+17	5.54542187E+00	1.31887084E+54	6.99536359E-01
2.59920829E+17	5.54494482E+00	1.31909822E+54	6.99699678E-01
2.61267499E+17	5.54458545E+00	1.31932116E+54	6.99859820E-01
2.62614169E+17	5.54423975E+00	1.31953974E+54	7.00016836E-01
2.63960840E+17	5.54392773E+00	1.31975401E+54	7.00170776E-01
2.65307510E+17	5.54355957E+00	1.31996406E+54	7.00321690E-01
2.66654180E+17	5.54313086E+00	1.32016995E+54	7.00469628E-01
