2022-01-03 16:06:01
Density	Radius	Energy	Rest mass
7.60000001E+03	1.97928125E-01	1.61784135E+02	4.55467081E+00
7.70000001E+03	1.97068750E-01	1.62470735E+02	4.55467081E+00
7.80000001E+03	1.96220313E-01	1.63151416E+02	4.55467081E+00
7.90000001E+03	1.95381250E-01	1.63826303E+02	4.55467081E+00
8.00000001E+03	1.94567188E-01	1.64495520E+02	4.55467081E+00
8.10000001E+03	1.93764063E-01	1.65159182E+02	4.55467081E+00
8.20000001E+03	1.92971875E-01	1.65817404E+02	4.55467081E+00
8.30000001E+03	1.92190625E-01	1.66470297E+02	4.55467081E+00
8.40000001E+03	1.91443750E-01	1.67117966E+02	4.55467081E+00
8.50000001E+03	1.90681250E-01	1.67760515E+02	4.55467081E+00
8.60000001E+03	1.89937500E-01	1.68398044E+02	4.55467081E+00
8.70000001E+03	1.89198438E-01	1.69030650E+02	4.55467081E+00
8.80000001E+03	1.88487500E-01	1.69658426E+02	4.55467081E+00
8.90000001E+03	1.87776563E-01	1.70281465E+02	4.55467081E+00
9.00000001E+03	1.87082813E-01	1.70899854E+02	4.55467081E+00
9.10000001E+03	1.86387500E-01	1.71513679E+02	4.55467081E+00
9.20000001E+03	1.85720313E-01	1.72123024E+02	4.55467081E+00
9.30000001E+03	1.85059375E-01	1.72727969E+02	4.55467081E+00
9.40000001E+03	1.84382813E-01	1.73328593E+02	4.55467081E+00
9.50000001E+03	1.83739063E-01	1.73924971E+02	4.55467081E+00
9.60000001E+03	1.83098438E-01	1.74517180E+02	4.55467081E+00
9.70000001E+03	1.82471875E-01	1.75105290E+02	4.55467081E+00
9.80000001E+03	1.81857813E-01	1.75689372E+02	4.55467081E+00
9.90000001E+03	1.81243750E-01	1.76269493E+02	4.55467081E+00
1.00000000E+04	1.80626563E-01	1.76845722E+02	4.55467081E+00
1.01000000E+04	1.80042188E-01	1.77418121E+02	4.55467081E+00
1.02000000E+04	1.79448438E-01	1.77986755E+02	4.55467081E+00
1.03000000E+04	1.78864063E-01	1.78551684E+02	4.55467081E+00
1.04000000E+04	1.78281250E-01	1.79112968E+02	4.55467081E+00
1.05000000E+04	1.77718750E-01	1.79670666E+02	4.55467081E+00
1.06000000E+04	1.77148438E-01	1.80224834E+02	4.55467081E+00
1.07000000E+04	1.76590625E-01	1.80775527E+02	4.55467081E+00
1.08000000E+04	1.76062500E-01	1.81322800E+02	4.55467081E+00
1.09000000E+04	1.75518750E-01	1.81866705E+02	4.55467081E+00
1.10000000E+04	1.74973438E-01	1.82407294E+02	4.55467081E+00
1.11000000E+04	1.74462500E-01	1.82944616E+02	4.55467081E+00
1.12000000E+04	1.73932813E-01	1.83478721E+02	4.55467081E+00
1.13000000E+04	1.73410938E-01	1.84009655E+02	4.55467081E+00
1.14000000E+04	1.72907813E-01	1.84537467E+02	4.55467081E+00
1.15000000E+04	1.72395313E-01	1.85062201E+02	4.55467081E+00
1.16000000E+04	1.71909375E-01	1.85583902E+02	4.55467081E+00
1.17000000E+04	1.71418750E-01	1.86102613E+02	4.55467081E+00
1.18000000E+04	1.70932813E-01	1.86618376E+02	4.55467081E+00
1.19000000E+04	1.70462500E-01	1.87131234E+02	4.55467081E+00
1.20000000E+04	1.69971875E-01	1.87641227E+02	4.55467081E+00
1.21000000E+04	1.69507813E-01	1.88148394E+02	4.55467081E+00
1.22000000E+04	1.69053125E-01	1.88652775E+02	4.55467081E+00
1.23000000E+04	1.68579688E-01	1.89154407E+02	4.55467081E+00
1.24000000E+04	1.68131250E-01	1.89653327E+02	4.55467081E+00
1.25000000E+04	1.67681250E-01	1.90149572E+02	4.55467081E+00
1.26000000E+04	1.67245313E-01	1.90643178E+02	4.55467081E+00
1.27000000E+04	1.66788281E-01	1.91134179E+02	4.55467081E+00
1.28000000E+04	1.66359375E-01	1.91622609E+02	4.55467081E+00
1.29000000E+04	1.65931250E-01	1.92108501E+02	4.55467081E+00
1.30000000E+04	1.65500000E-01	1.92591889E+02	4.55467081E+00
1.31000000E+04	1.65082031E-01	1.93072805E+02	4.55467081E+00
1.32000000E+04	1.64667969E-01	1.93551279E+02	4.55467081E+00
1.33000000E+04	1.64259375E-01	1.94027343E+02	4.55467081E+00
1.34000000E+04	1.63849219E-01	1.94501026E+02	4.55467081E+00
1.35000000E+04	1.63445313E-01	1.94972359E+02	4.55467081E+00
1.36000000E+04	1.63044531E-01	1.95441369E+02	4.55467081E+00
1.37000000E+04	1.62645313E-01	1.95908087E+02	4.55467081E+00
1.38000000E+04	1.62252344E-01	1.96372538E+02	4.55467081E+00
1.39000000E+04	1.61861719E-01	1.96834751E+02	4.55467081E+00
1.40000000E+04	1.61469531E-01	1.97294753E+02	4.55467081E+00
1.41000000E+04	1.61082813E-01	1.97752569E+02	4.55467081E+00
1.42000000E+04	1.60702344E-01	1.98208226E+02	4.55467081E+00
1.43000000E+04	1.60330469E-01	1.98661749E+02	4.55467081E+00
1.44000000E+04	1.59953125E-01	1.99113162E+02	4.55467081E+00
1.45000000E+04	1.59581250E-01	1.99562490E+02	4.55467081E+00
1.46000000E+04	1.59221875E-01	2.00009757E+02	4.55467081E+00
1.47000000E+04	1.58867188E-01	2.00454986E+02	4.55467081E+00
1.48000000E+04	1.58499219E-01	2.00898201E+02	4.55467081E+00
1.49000000E+04	1.58143750E-01	2.01339424E+02	4.55467081E+00
1.50000000E+04	1.57787500E-01	2.01778676E+02	4.55467081E+00
1.51000000E+04	1.57457813E-01	2.02215981E+02	4.55467081E+00
1.52000000E+04	1.57096094E-01	2.02651360E+02	4.55467081E+00
1.53000000E+04	1.56753906E-01	2.03084833E+02	4.55467081E+00
1.54000000E+04	1.56411719E-01	2.03516421E+02	4.55467081E+00
1.55000000E+04	1.56081250E-01	2.03946145E+02	4.55467081E+00
1.56000000E+04	1.55742969E-01	2.04374025E+02	4.55467081E+00
1.57000000E+04	1.55408594E-01	2.04800080E+02	4.55467081E+00
1.58000000E+04	1.55085938E-01	2.05224330E+02	4.55467081E+00
1.59000000E+04	1.54759375E-01	2.05646793E+02	4.55467081E+00
1.60000000E+04	1.54446875E-01	2.06067489E+02	4.55467081E+00
1.61000000E+04	1.54121094E-01	2.06486436E+02	4.55467081E+00
1.62000000E+04	1.53790625E-01	2.06903651E+02	4.55467081E+00
1.63000000E+04	1.53483594E-01	2.07319153E+02	4.55467081E+00
1.64000000E+04	1.53167188E-01	2.07732959E+02	4.55467081E+00
1.65000000E+04	1.52867188E-01	2.08145086E+02	4.55467081E+00
1.66000000E+04	1.52550000E-01	2.08555552E+02	4.55467081E+00
1.67000000E+04	1.52259375E-01	2.08964372E+02	4.55467081E+00
1.68000000E+04	1.51942969E-01	2.09371563E+02	4.55467081E+00
1.69000000E+04	1.51658594E-01	2.09777142E+02	4.55467081E+00
1.70000000E+04	1.51344531E-01	2.10181124E+02	4.55467081E+00
1.71000000E+04	1.51062500E-01	2.10583525E+02	4.55467081E+00
1.72000000E+04	1.50758594E-01	2.10984360E+02	4.55467081E+00
1.73000000E+04	1.50471094E-01	2.11383644E+02	4.55467081E+00
1.74000000E+04	1.50173438E-01	2.11781393E+02	4.55467081E+00
1.75000000E+04	1.49891406E-01	2.12177621E+02	4.55467081E+00
1.76000000E+04	1.49600000E-01	2.12572342E+02	4.55467081E+00
1.77000000E+04	1.49329688E-01	2.12965571E+02	4.55467081E+00
1.78000000E+04	1.49058594E-01	2.13357321E+02	4.55467081E+00
1.79000000E+04	1.48764844E-01	2.13747607E+02	4.55467081E+00
1.80000000E+04	1.48490625E-01	2.14136442E+02	4.55467081E+00
1.81000000E+04	1.48212500E-01	2.14523840E+02	4.55467081E+00
1.82000000E+04	1.47943750E-01	2.14909813E+02	4.55467081E+00
1.83000000E+04	1.47679688E-01	2.15294375E+02	4.55467081E+00
1.84000000E+04	1.47398438E-01	2.15677539E+02	4.55467081E+00
1.85000000E+04	1.47140625E-01	2.16059317E+02	4.55467081E+00
1.86000000E+04	1.46880469E-01	2.16439722E+02	4.55467081E+00
1.87000000E+04	1.46610156E-01	2.16818765E+02	4.55467081E+00
1.88000000E+04	1.46353125E-01	2.17196460E+02	4.55467081E+00
1.89000000E+04	1.46094531E-01	2.17572817E+02	4.55467081E+00
1.90000000E+04	1.45850000E-01	2.17947850E+02	4.55467081E+00
1.91000000E+04	1.45580469E-01	2.18321569E+02	4.55467081E+00
1.92000000E+04	1.45332813E-01	2.18693985E+02	4.55467081E+00
1.93000000E+04	1.45082031E-01	2.19065111E+02	4.55467081E+00
1.94000000E+04	1.44844531E-01	2.19434957E+02	4.55467081E+00
1.95000000E+04	1.44578125E-01	2.19803535E+02	4.55467081E+00
1.96000000E+04	1.44337500E-01	2.20170854E+02	4.55467081E+00
1.97000000E+04	1.44090625E-01	2.20536926E+02	4.55467081E+00
1.98000000E+04	1.43860156E-01	2.20901761E+02	4.55467081E+00
